exp_id,dataset,method,run_id,outer_fold,seed,eval_index,iteration,particle_id,pos_n_estimators,pos_max_depth,pos_min_samples_split,vel_n_estimators,vel_max_depth,vel_min_samples_split,n_estimators,max_depth,min_samples_split,fitness,fitness_metric,cv_scores,cv_std,diag_balanced_accuracy,diag_f1_macro,cache_hit,status,error,pbest_fitness,gbest_fitness,best_so_far_fitness,fit_time_s,timestamp
20260925-083324_default,digits,random_search,fold_1,1,1,0,,,,,,,,,121,11,8,0.9679902245451025,accuracy,"[0.9722222222222222,0.9618055555555556,0.9825783972125436,0.9581881533101045,0.9651567944250871]",0.008638097514678452,0.9679208173690933,0.9678006729100594,false,ok,,,,0.9679902245451025,1.4233697999734432,2026-09-25T08:55:49.331Z
20260925-083324_default,digits,random_search,fold_1,1,1,1,,,,,,,,,193,2,3,0.8183652729384437,accuracy,"[0.8298611111111112,0.8159722222222222,0.8257839721254355,0.7874564459930313,0.8327526132404182]",0.01646371300014616,0.8179401569056741,0.8111286195608596,false,ok,,,,0.9679902245451025,1.3354878000100143,2026-09-25T08:55:50.667Z
20260925-083324_default,digits,random_search,fold_1,1,1,2,,,,,,,,,174,20,4,0.9679878048780488,accuracy,"[0.9722222222222222,0.9652777777777778,0.9825783972125436,0.9581881533101045,0.9616724738675958]",0.00864958378680685,0.9680195219850394,0.9680041577907534,false,ok,,,,0.9679902245451025,1.7993372000055388,2026-09-25T08:55:52.467Z
20260925-083324_default,digits,random_search,fold_1,1,1,3,,,,,,,,,97,18,5,0.9749443476577623,accuracy,"[0.9791666666666666,0.9756944444444444,0.9895470383275261,0.9547038327526133,0.975609756097561]",0.011329169517810806,0.9748487502280607,0.9747205318875306,false,ok,,,,0.9749443476577623,0.7337070999783464,2026-09-25T08:55:53.201Z
20260925-083324_default,digits,random_search,fold_1,1,1,4,,,,,,,,,91,17,4,0.9700735578784359,accuracy,"[0.9756944444444444,0.96875,0.9860627177700348,0.9581881533101045,0.9616724738675958]",0.010008401067050884,0.9700654989965335,0.9700650649387855,false,ok,,,,0.9749443476577623,0.683388700010255,2026-09-25T08:55:53.886Z
20260925-083324_default,digits,random_search,fold_1,1,1,5,,,,,,,,,111,14,6,0.9714600271002711,accuracy,"[0.9791666666666666,0.9756944444444444,0.975609756097561,0.9547038327526133,0.9721254355400697]",0.008668975162153278,0.9714480934136105,0.9714018853457876,false,ok,,,,0.9749443476577623,1.0446545999730006,2026-09-25T08:55:54.930Z
20260925-083324_default,digits,random_search,fold_1,1,1,6,,,,,,,,,62,2,9,0.8155729771583429,accuracy,"[0.8368055555555556,0.8159722222222222,0.8083623693379791,0.7909407665505227,0.8257839721254355]",0.015581943811988972,0.8153001277139207,0.8087253433081967,false,ok,,,,0.9749443476577623,0.3646446999628097,2026-09-25T08:55:55.295Z
20260925-083324_default,digits,random_search,fold_1,1,1,7,,,,,,,,,163,17,6,0.9735506194347657,accuracy,"[0.9826388888888888,0.9722222222222222,0.9825783972125436,0.9581881533101045,0.9721254355400697]",0.008987753523490103,0.973541689472724,0.9734573364229175,false,ok,,,,0.9749443476577623,2.1434341000276618,2026-09-25T08:55:57.439Z
20260925-083324_default,digits,random_search,fold_1,1,1,8,,,,,,,,,173,8,6,0.9651930894308943,accuracy,"[0.9756944444444444,0.9722222222222222,0.9721254355400697,0.9477351916376306,0.9581881533101045]",0.010598036732456817,0.9652362707535123,0.9651392199198231,false,ok,,,,0.9749443476577623,1.918896200018935,2026-09-25T08:55:59.359Z
20260925-083324_default,digits,random_search,fold_1,1,1,9,,,,,,,,,169,4,4,0.9178861788617885,accuracy,"[0.9166666666666666,0.9166666666666666,0.9233449477351916,0.9163763066202091,0.9163763066202091]",0.0027324716274142943,0.9179222769567599,0.9168100892759563,false,ok,,,,0.9749443476577623,1.3601465999963693,2026-09-25T08:56:00.720Z
