exp_id,dataset,method,run_id,outer_fold,seed,iteration,gbest_fitness,gbest_n_estimators,gbest_max_depth,gbest_min_samples_split,gbest_improved,mean_fitness,std_fitness,min_fitness,max_fitness,diversity,n_unique_configs,n_cache_hits,n_ties_with_gbest,n_failed,cumulative_evaluations,cumulative_unique_fits,no_improve_count,elapsed_s
20260925-083324_default,heart_cleveland,pso,fold_3,3,3,0,0.8433673469387756,184,13,6,true,0.8326785714285714,0.00761916624816534,0.8227891156462585,0.8433673469387756,0.4094806156141607,10,0,1,0,10,10,0,3.646917400008533
20260925-083324_default,heart_cleveland,pso,fold_3,3,3,1,0.8433673469387756,184,13,6,false,0.8334778911564626,0.005863408172179874,0.8227891156462587,0.8433673469387756,0.28925058374889656,10,0,2,0,20,20,1,7.636203199974261
20260925-083324_default,heart_cleveland,pso,fold_3,3,3,2,0.8433673469387756,184,13,6,false,0.8363690476190475,0.006358935416241713,0.8228741496598639,0.8433673469387756,0.196580848566206,10,0,4,0,30,30,2,11.994838399987202
20260925-083324_default,heart_cleveland,pso,fold_3,3,3,3,0.8433673469387756,184,13,6,false,0.8371938775510204,0.006150869410277763,0.822874149659864,0.8433673469387756,0.1926656058030661,10,0,7,0,40,40,3,16.417498100025114
20260925-083324_default,heart_cleveland,pso,fold_3,3,3,4,0.8433673469387756,184,13,6,false,0.8396598639455781,0.005033869964856408,0.8268707482993196,0.8433673469387756,0.16094424880247984,10,1,11,0,50,49,4,20.741404499975033
20260925-083324_default,heart_cleveland,pso,fold_3,3,3,5,0.8474489795918367,188,14,6,true,0.8363860544217687,0.007585629800279538,0.8228741496598639,0.8474489795918367,0.17380836207921452,10,1,1,0,60,58,0,25.441633699985687
20260925-083324_default,heart_cleveland,pso,fold_3,3,3,6,0.8474489795918367,188,14,6,false,0.8380272108843538,0.00582154557586304,0.8269557823129252,0.8433673469387756,0.1673769906607474,10,1,1,0,70,67,1,30.12882929999614
20260925-083324_default,heart_cleveland,pso,fold_3,3,3,7,0.8474489795918367,188,14,6,false,0.8371938775510204,0.008872613765080481,0.8145408163265306,0.8433673469387756,0.18447074423267523,10,0,1,0,80,77,2,35.46096120000584
20260925-083324_default,heart_cleveland,pso,fold_3,3,3,8,0.8474489795918367,188,14,6,false,0.8413095238095238,0.004215629298320692,0.8310374149659865,0.8433673469387756,0.1268913992201962,10,2,1,0,90,85,3,39.629064599983394
20260925-083324_default,heart_cleveland,pso,fold_3,3,3,9,0.8474489795918367,188,14,6,false,0.8409013605442178,0.004194168573800095,0.8310374149659865,0.8433673469387756,0.11995589853245263,10,2,1,0,100,93,4,43.599540999974124
20260925-083324_default,heart_cleveland,pso,fold_3,3,3,10,0.8474489795918367,188,14,6,false,0.8409013605442176,0.004946173550522957,0.8268707482993196,0.8433673469387756,0.13546223813456199,10,3,1,0,110,100,5,46.98242329998175
20260925-083324_default,heart_cleveland,pso,fold_3,3,3,11,0.8474489795918367,188,14,6,false,0.8396598639455781,0.007456876967906174,0.8187074829931973,0.8433673469387756,0.15063533311111174,10,1,1,0,120,109,6,51.15056490001734
20260925-083324_default,heart_cleveland,pso,fold_3,3,3,12,0.8474489795918367,188,14,6,false,0.8392431972789117,0.0071236226690205885,0.8227891156462587,0.8474489795918367,0.13769465303439699,10,4,1,0,130,115,7,54.05722389998846
20260925-083324_default,heart_cleveland,pso,fold_3,3,3,13,0.8474489795918367,188,14,6,false,0.841309523809524,0.004215629298320692,0.8310374149659865,0.8433673469387756,0.12003937400330453,10,3,1,0,140,122,8,57.47064140002476
20260925-083324_default,heart_cleveland,pso,fold_3,3,3,14,0.8474489795918367,188,14,6,false,0.8388350340136055,0.00566393557962782,0.8268707482993196,0.8474489795918367,0.1207379784329825,10,2,2,0,150,130,9,61.08238779997919
20260925-083324_default,heart_cleveland,pso,fold_3,3,3,15,0.8474489795918367,188,14,6,false,0.8421343537414968,0.0036895845971483304,0.8351190476190476,0.8474489795918367,0.09901486623321373,10,3,2,0,160,137,10,64.26504219998606
20260925-083324_default,heart_cleveland,pso,fold_3,3,3,16,0.8474489795918367,188,14,6,false,0.8400595238095239,0.006583791108387156,0.8227891156462587,0.8474489795918367,0.14808026778607325,10,3,2,0,170,144,11,67.49745249998523
20260925-083324_default,heart_cleveland,pso,fold_3,3,3,17,0.8474489795918367,188,14,6,false,0.8400850340136055,0.006030008871289418,0.8269557823129252,0.8474489795918367,0.1304470057878552,9,5,2,0,180,149,12,69.72081329999492
20260925-083324_default,heart_cleveland,pso,fold_3,3,3,18,0.8474489795918367,188,14,6,false,0.8392602040816328,0.00450231614696411,0.8310374149659865,0.8433673469387756,0.13179053018665302,10,5,2,0,190,154,13,72.2689155000262
20260925-083324_default,heart_cleveland,pso,fold_3,3,3,19,0.8474489795918367,188,14,6,false,0.8417261904761905,0.005231084903835609,0.8270408163265307,0.8474489795918367,0.10171138251957915,10,3,2,0,200,161,14,75.97634210000979
20260925-083324_default,heart_cleveland,pso,fold_3,3,3,20,0.8474489795918367,188,14,6,false,0.8425425170068028,0.004023474908600268,0.8310374149659865,0.8474489795918367,0.08285231332290083,9,6,2,0,210,165,15,78.09447640000144
