exp_id,dataset,method,run_id,outer_fold,seed,iteration,gbest_fitness,gbest_n_estimators,gbest_max_depth,gbest_min_samples_split,gbest_improved,mean_fitness,std_fitness,min_fitness,max_fitness,diversity,n_unique_configs,n_cache_hits,n_ties_with_gbest,n_failed,cumulative_evaluations,cumulative_unique_fits,no_improve_count,elapsed_s
20260925-083324_default,iris,pso,fold_4,4,4,0,0.9666666666666668,191,14,3,true,0.9600000000000002,0.003333333333333366,0.9583333333333334,0.9666666666666668,0.4710007117689422,10,0,2,0,10,10,0,6.370695199992042
20260925-083324_default,iris,pso,fold_4,4,4,1,0.9666666666666668,191,14,3,false,0.9633333333333335,0.0040824829046386705,0.9583333333333334,0.9666666666666668,0.3372385594263515,10,0,8,0,20,20,1,13.138388699968345
20260925-083324_default,iris,pso,fold_4,4,4,2,0.9666666666666668,191,14,3,false,0.9658333333333335,0.0025000000000000243,0.9583333333333334,0.9666666666666668,0.2412325066732858,10,0,17,0,30,30,2,20.888944800011814
20260925-083324_default,iris,pso,fold_4,4,4,3,0.9666666666666668,191,14,3,false,0.9666666666666668,0.0,0.9666666666666668,0.9666666666666668,0.176535141288222,10,0,27,0,40,40,3,30.226821699994616
20260925-083324_default,iris,pso,fold_4,4,4,4,0.9666666666666668,191,14,3,false,0.9666666666666668,0.0,0.9666666666666668,0.9666666666666668,0.1543559900609049,10,0,37,0,50,50,4,42.60535739996703
20260925-083324_default,iris,pso,fold_4,4,4,5,0.9666666666666668,191,14,3,false,0.9666666666666668,0.0,0.9666666666666668,0.9666666666666668,0.20717330023479724,10,0,47,0,60,60,5,52.46564309997484
20260925-083324_default,iris,pso,fold_4,4,4,6,0.9666666666666668,191,14,3,false,0.9666666666666668,0.0,0.9666666666666668,0.9666666666666668,0.16476346131092018,10,1,56,0,70,69,6,59.95436889998382
20260925-083324_default,iris,pso,fold_4,4,4,7,0.9666666666666668,191,14,3,false,0.9666666666666668,0.0,0.9666666666666668,0.9666666666666668,0.16609107080233265,10,1,65,0,80,78,7,67.47365940001328
20260925-083324_default,iris,pso,fold_4,4,4,8,0.9666666666666668,191,14,3,false,0.9666666666666668,0.0,0.9666666666666668,0.9666666666666668,0.12708262467443016,10,0,75,0,90,88,8,76.66845499997726
20260925-083324_default,iris,pso,fold_4,4,4,9,0.9666666666666668,191,14,3,false,0.9666666666666668,0.0,0.9666666666666668,0.9666666666666668,0.2002950646871559,10,2,83,0,100,96,9,84.02125779999187
20260925-083324_default,iris,pso,fold_4,4,4,10,0.9666666666666668,191,14,3,false,0.9666666666666668,0.0,0.9666666666666668,0.9666666666666668,0.19275123524010676,10,2,91,0,110,104,10,90.68808079999872
20260925-083324_default,iris,pso,fold_4,4,4,11,0.9666666666666668,191,14,3,false,0.9666666666666668,0.0,0.9666666666666668,0.9666666666666668,0.1545451965336373,10,2,99,0,120,112,11,97.53914359997725
20260925-083324_default,iris,pso,fold_4,4,4,12,0.9666666666666668,191,14,3,false,0.9666666666666668,0.0,0.9666666666666668,0.9666666666666668,0.18462685957265362,10,2,107,0,130,120,12,103.93608610000229
20260925-083324_default,iris,pso,fold_4,4,4,13,0.9666666666666668,191,14,3,false,0.9666666666666668,0.0,0.9666666666666668,0.9666666666666668,0.17575739331787799,10,0,117,0,140,130,13,110.66004689998226
20260925-083324_default,iris,pso,fold_4,4,4,14,0.9666666666666668,191,14,3,false,0.9666666666666668,0.0,0.9666666666666668,0.9666666666666668,0.18380619460795006,10,5,122,0,150,135,14,114.69953559996793
20260925-083324_default,iris,pso,fold_4,4,4,15,0.9666666666666668,191,14,3,false,0.9666666666666668,0.0,0.9666666666666668,0.9666666666666668,0.1506827171248131,10,1,131,0,160,144,15,120.57440599997062
20260925-083324_default,iris,pso,fold_4,4,4,16,0.9666666666666668,191,14,3,false,0.9666666666666668,0.0,0.9666666666666668,0.9666666666666668,0.18141274670872734,10,2,139,0,170,152,16,126.87479699996766
20260925-083324_default,iris,pso,fold_4,4,4,17,0.9666666666666668,191,14,3,false,0.9666666666666668,0.0,0.9666666666666668,0.9666666666666668,0.1262874946142736,9,5,144,0,180,157,17,130.72209290001774
20260925-083324_default,iris,pso,fold_4,4,4,18,0.9666666666666668,191,14,3,false,0.9666666666666668,0.0,0.9666666666666668,0.9666666666666668,0.16729724037922725,10,2,152,0,190,165,18,136.1849667999777
20260925-083324_default,iris,pso,fold_4,4,4,19,0.9666666666666668,191,14,3,false,0.9666666666666668,0.0,0.9666666666666668,0.9666666666666668,0.19644184463991604,10,4,158,0,200,171,19,141.10256819997448
20260925-083324_default,iris,pso,fold_4,4,4,20,0.9666666666666668,191,14,3,false,0.9666666666666668,0.0,0.9666666666666668,0.9666666666666668,0.177736608511726,10,3,165,0,210,178,20,146.79033029999118
