exp_id,dataset,method,run_id,outer_fold,seed,iteration,gbest_fitness,gbest_n_estimators,gbest_max_depth,gbest_min_samples_split,gbest_improved,mean_fitness,std_fitness,min_fitness,max_fitness,diversity,n_unique_configs,n_cache_hits,n_ties_with_gbest,n_failed,cumulative_evaluations,cumulative_unique_fits,no_improve_count,elapsed_s
20260925-083324_default,digits,pso,fold_3,3,3,0,0.9700977545489741,67,9,6,true,0.9493704026325979,0.024654735628307143,0.8873548199767713,0.9700977545489741,0.4094806156141607,10,0,1,0,10,10,0,7.285019900009502
20260925-083324_default,digits,pso,fold_3,3,3,1,0.9728779519938057,163,9,6,true,0.9655746709252806,0.005727854846676897,0.9548030391018196,0.9728779519938057,0.28617456699003996,10,0,1,0,20,20,0,14.159758499998134
20260925-083324_default,digits,pso,fold_3,3,3,2,0.9728779519938057,163,9,6,false,0.9691942508710802,0.0024879997955676108,0.9624516066589237,0.9714890631049167,0.15729085351050312,10,0,1,0,30,30,1,21.522432999976445
20260925-083324_default,digits,pso,fold_3,3,3,3,0.9728779519938057,163,9,6,false,0.9682890534262485,0.0037981337705855806,0.9589697057684863,0.9714914827719706,0.16271786639020447,10,0,1,0,40,40,2,30.238255799980834
20260925-083324_default,digits,pso,fold_3,3,3,4,0.9735723964382501,153,9,6,true,0.9682871176926054,0.0032499964190291675,0.9631412117692605,0.9735723964382501,0.13025434217514464,10,0,1,0,50,50,0,40.2565833000117
20260925-083324_default,digits,pso,fold_3,3,3,5,0.9735723964382501,153,9,6,false,0.9678024583817265,0.004218845212100751,0.9582776809910957,0.9735723964382501,0.13437915569189474,10,1,2,0,60,59,1,48.67684649996227
20260925-083324_default,digits,pso,fold_3,3,3,6,0.9735723964382501,153,9,6,false,0.9686365176151762,0.0028565098477745495,0.9631436314363144,0.9735723964382501,0.12296509429527129,10,1,3,0,70,68,2,56.60273199999938
20260925-083324_default,digits,pso,fold_3,3,3,7,0.9735723964382501,153,9,6,false,0.969263453348819,0.002759621905210825,0.9631436314363144,0.9728779519938057,0.13292302631442596,10,1,3,0,80,77,3,64.06695720000425
20260925-083324_default,digits,pso,fold_3,3,3,8,0.9735723964382501,153,9,6,false,0.9701657471931864,0.00307087312816515,0.9624443476577623,0.9735723964382501,0.1677716592116401,10,0,4,0,90,87,4,72.59379289997742
20260925-083324_default,digits,pso,fold_3,3,3,9,0.9735723964382501,153,9,6,false,0.9691930410375532,0.0037714670426990653,0.9617499032133179,0.9735723964382501,0.15607856202730477,10,0,5,0,100,97,5,81.86171099997591
20260925-083324_default,digits,pso,fold_3,3,3,10,0.9735723964382501,153,9,6,false,0.9687047522260936,0.00365365607662563,0.9631387921022068,0.9735723964382501,0.11272166190799031,10,0,6,0,110,107,6,90.42285739997169
20260925-083324_default,digits,pso,fold_3,3,3,11,0.9735723964382501,153,9,6,false,0.9676621176926055,0.007483989063774155,0.9520180023228804,0.9735723964382501,0.1270524296910351,9,5,6,0,120,112,7,94.90273719996912
20260925-083324_default,digits,pso,fold_3,3,3,12,0.9735723964382501,153,9,6,false,0.9705149051490516,0.0023728003768693747,0.9652269647696476,0.9728779519938057,0.10535031731487007,10,4,6,0,130,118,8,100.2869561999687
20260925-083324_default,digits,pso,fold_3,3,3,13,0.9735723964382501,153,9,6,false,0.9699576558265584,0.002634442871346963,0.9652318041037553,0.9735723964382501,0.10955370365408276,10,2,7,0,140,126,9,107.36016340000788
20260925-083324_default,digits,pso,fold_3,3,3,14,0.9735723964382501,153,9,6,false,0.968775406504065,0.0038147648832929713,0.9603610143244289,0.9728779519938057,0.09192984298874597,10,2,7,0,150,134,10,114.86940510000568
20260925-083324_default,digits,pso,fold_3,3,3,15,0.9735723964382501,153,9,6,false,0.9690524583817266,0.003888057573944017,0.9631412117692605,0.9728779519938057,0.11279020181234038,10,3,7,0,160,141,11,121.41798249998828
20260925-083324_default,digits,pso,fold_3,3,3,16,0.9735723964382501,153,9,6,false,0.9709995644599303,0.0024889521578353056,0.9659238288811458,0.9735723964382501,0.13889405058509902,8,5,7,0,170,146,12,126.30525609996403
20260925-083324_default,digits,pso,fold_3,3,3,17,0.9735723964382501,153,9,6,false,0.9691233546264033,0.0025105460827975308,0.9645325203252032,0.9728779519938057,0.12109005223703562,10,3,7,0,180,153,13,132.6307537999819
20260925-083324_default,digits,pso,fold_3,3,3,18,0.9735723964382501,153,9,6,false,0.9699576558265584,0.003227935872629948,0.9659262485481996,0.9735723964382501,0.06310919018822693,8,5,8,0,190,158,14,137.40598199999658
20260925-083324_default,digits,pso,fold_3,3,3,19,0.9735723964382501,153,9,6,false,0.9687758904374759,0.005496023570035218,0.9541061749903215,0.9728779519938057,0.09902411643726243,10,4,8,0,200,164,15,143.07121679995907
20260925-083324_default,digits,pso,fold_3,3,3,20,0.9735723964382501,153,9,6,false,0.9699578977932635,0.002760962000944537,0.9652293844367014,0.9735723964382501,0.0697846921442,9,6,8,0,210,168,16,146.60323770000832
