exp_id,dataset,method,run_id,outer_fold,seed,iteration,gbest_fitness,gbest_n_estimators,gbest_max_depth,gbest_min_samples_split,gbest_improved,mean_fitness,std_fitness,min_fitness,max_fitness,diversity,n_unique_configs,n_cache_hits,n_ties_with_gbest,n_failed,cumulative_evaluations,cumulative_unique_fits,no_improve_count,elapsed_s
20260925-083324_default,iris,pso,fold_3,3,3,0,0.9416666666666668,63,6,8,true,0.9416666666666668,0.0,0.9416666666666668,0.9416666666666668,0.4094806156141607,10,0,10,0,10,10,0,3.6119346000486985
20260925-083324_default,iris,pso,fold_3,3,3,1,0.9416666666666668,63,6,8,false,0.9416666666666668,0.0,0.9416666666666668,0.9416666666666668,0.3086051716285414,10,0,20,0,20,20,1,7.834455400006846
20260925-083324_default,iris,pso,fold_3,3,3,2,0.9416666666666668,63,6,8,false,0.9416666666666668,0.0,0.9416666666666668,0.9416666666666668,0.2097615349031901,10,0,30,0,30,30,2,11.817031500046141
20260925-083324_default,iris,pso,fold_3,3,3,3,0.9416666666666668,63,6,8,false,0.9416666666666668,0.0,0.9416666666666668,0.9416666666666668,0.2685202621879042,10,0,40,0,40,40,3,16.101296000008006
20260925-083324_default,iris,pso,fold_3,3,3,4,0.95,67,2,8,true,0.9425000000000001,0.0024999999999999576,0.9416666666666668,0.95,0.2612408209679385,10,0,1,0,50,50,0,20.35014140000567
20260925-083324_default,iris,pso,fold_3,3,3,5,0.95,67,2,8,false,0.9425000000000001,0.0024999999999999576,0.9416666666666668,0.95,0.2521050933391067,10,0,2,0,60,60,1,24.367656100017484
20260925-083324_default,iris,pso,fold_3,3,3,6,0.95,67,2,8,false,0.9433333333333334,0.003333333333333277,0.9416666666666668,0.95,0.2444676823563834,10,0,4,0,70,70,2,28.368173700000625
20260925-083324_default,iris,pso,fold_3,3,3,7,0.95,67,2,8,false,0.9425000000000001,0.0024999999999999576,0.9416666666666668,0.95,0.2378294132227893,10,0,5,0,80,80,3,32.26986100000795
20260925-083324_default,iris,pso,fold_3,3,3,8,0.95,67,2,8,false,0.9441666666666666,0.0038188130791298024,0.9416666666666668,0.95,0.3041856987279145,10,1,8,0,90,89,4,35.633152200025506
20260925-083324_default,iris,pso,fold_3,3,3,9,0.95,67,2,8,false,0.9441666666666666,0.0038188130791298024,0.9416666666666668,0.95,0.31970583582469625,10,0,11,0,100,99,5,39.685576600022614
20260925-083324_default,iris,pso,fold_3,3,3,10,0.95,67,2,8,false,0.9441666666666666,0.0038188130791298024,0.9416666666666668,0.95,0.2795246919266865,10,2,12,0,110,107,6,42.88387880002847
20260925-083324_default,iris,pso,fold_3,3,3,11,0.95,67,2,8,false,0.9441666666666666,0.0038188130791298024,0.9416666666666668,0.95,0.261977697737859,10,0,15,0,120,117,7,46.45115330000408
20260925-083324_default,iris,pso,fold_3,3,3,12,0.95,67,2,8,false,0.945,0.004082482904638561,0.9416666666666668,0.95,0.24571988857685403,10,3,17,0,130,124,8,48.99994150002021
20260925-083324_default,iris,pso,fold_3,3,3,13,0.95,67,2,8,false,0.945,0.004082482904638561,0.9416666666666668,0.95,0.24268125039256544,9,2,19,0,140,132,9,52.001320800045505
20260925-083324_default,iris,pso,fold_3,3,3,14,0.95,67,2,8,false,0.9458333333333332,0.004166666666666596,0.9416666666666668,0.95,0.23098339094775205,10,2,22,0,150,140,10,55.24472080002306
20260925-083324_default,iris,pso,fold_3,3,3,15,0.95,67,2,8,false,0.945,0.004082482904638561,0.9416666666666668,0.95,0.24742614561621604,10,4,24,0,160,146,11,57.76750529999845
20260925-083324_default,iris,pso,fold_3,3,3,16,0.95,67,2,8,false,0.9441666666666666,0.0038188130791298024,0.9416666666666668,0.95,0.2970531648982385,10,2,25,0,170,154,12,61.10135970002739
20260925-083324_default,iris,pso,fold_3,3,3,17,0.95,67,2,8,false,0.945,0.004082482904638561,0.9416666666666668,0.95,0.26213843673288345,10,1,28,0,180,163,13,64.60888130002422
20260925-083324_default,iris,pso,fold_3,3,3,18,0.95,67,2,8,false,0.9458333333333334,0.004166666666666596,0.9416666666666668,0.95,0.25102375369011753,10,2,31,0,190,171,14,67.56817930005491
20260925-083324_default,iris,pso,fold_3,3,3,19,0.95,67,2,8,false,0.9458333333333332,0.004166666666666596,0.9416666666666668,0.95,0.19220628438742016,10,2,34,0,200,179,15,70.45141750003677
20260925-083324_default,iris,pso,fold_3,3,3,20,0.95,67,2,8,false,0.9475,0.0038188130791298024,0.9416666666666668,0.95,0.22449306090740023,9,5,37,0,210,184,16,72.47832070000004
