exp_id,dataset,method,n_folds,test_accuracy_mean,test_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_f1_macro_mean,test_f1_macro_std,pooled_test_accuracy,validation_fitness_mean,delta_accuracy_mean,delta_accuracy_std,wins,ties,losses,wins_vs_rs,ties_vs_rs,losses_vs_rs,n_unique_fits_mean,total_time_s_sum
20260925-083324_default,iris,baseline,5,0.9600000000000002,0.04346134936801765,0.96,0.04346134936801766,0.9597984861142755,0.043648458656822736,0.96,0.9483333333333335,0.0,0.0,,,,,,,1.0,3.7776728999451734
20260925-083324_default,iris,random_search,5,0.9533333333333335,0.03800584750330459,0.9533333333333334,0.0380058475033046,0.9531151110098477,0.0381683240971934,0.9533333333333334,0.9583333333333334,-0.006666666666666665,0.014907119849998594,0,4,1,,,,209.6,372.458204900031
20260925-083324_default,iris,pso,5,0.9600000000000002,0.04346134936801765,0.96,0.04346134936801766,0.9597984861142755,0.043648458656822736,0.96,0.9583333333333334,0.0,0.0,0,5,0,1,4,0,188.8,419.04165460000513
20260925-083324_default,digits,baseline,5,0.9721757969668833,0.00811988827366716,0.9719902591667298,0.008119407505289394,0.9719488780553048,0.008193062908049087,0.9721758486366165,0.9713395276809911,0.0,0.0,,,,,,,1.0,8.362330599920824
20260925-083324_default,digits,random_search,5,0.9749566697616837,0.002801180631387619,0.9748316047139577,0.0028047006286764306,0.9748127632572485,0.0028754549299540703,0.9749582637729549,0.9755120015485869,0.0027808727948003486,0.0068183592039521715,2,2,1,,,,209.6,989.0929887999664
20260925-083324_default,digits,pso,5,0.9744011142061281,0.004579114032144105,0.9742769071592601,0.0046273822900770685,0.974328888540068,0.004625868731859945,0.9744017807456873,0.9755139372822299,0.002225317239244795,0.006929358385656322,2,0,3,1,2,2,159.0,900.2725352999987
20260925-083324_default,heart_cleveland,baseline,5,0.8316393442622949,0.03591436259316027,0.8268909331409331,0.036735045735579966,0.8287512641800536,0.03675119632589033,0.8316831683168316,0.8126190476190477,0.0,0.0,,,,,,,1.0,3.0322602001251653
20260925-083324_default,heart_cleveland,random_search,5,0.8250819672131147,0.041243438640005764,0.819748075998076,0.04246844520826668,0.8217324429206705,0.042269805612814085,0.8250825082508251,0.8414285714285714,-0.006557377049180313,0.02486188670180834,1,3,1,,,,209.6,365.7405346999876
20260925-083324_default,heart_cleveland,pso,5,0.8283060109289616,0.04775898450338209,0.8229106541606541,0.04845636394147265,0.8250039749917455,0.048720928608032496,0.8283828382838284,0.8414625850340135,-0.0033333333333333214,0.0315620487162587,2,1,2,2,2,1,164.2,320.81205100007355
