exp_id,dataset,method,outer_fold,seed,n_estimators,max_depth,min_samples_split,validation_fitness,test_accuracy,test_balanced_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,delta_accuracy_vs_baseline,delta_f1_macro_vs_baseline,delta_accuracy_vs_random_search,n_evaluations,n_unique_fits,convergence_iteration,total_time_s
20260925-083324_default,iris,baseline,0,0,100,,2,0.9416666666666667,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1,1,,1.6254934999742545
20260925-083324_default,iris,baseline,1,1,100,,2,0.9333333333333332,0.9666666666666667,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778613,0.0,0.0,,1,1,,0.3875333999749273
20260925-083324_default,iris,baseline,2,2,100,,2,0.9666666666666666,0.9333333333333333,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0,,1,1,,0.6082795999827795
20260925-083324_default,iris,baseline,3,3,100,,2,0.9416666666666668,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1,1,,0.44624479999765754
20260925-083324_default,iris,baseline,4,4,100,,2,0.9583333333333334,0.9,0.9,0.9023569023569024,0.9,0.899749373433584,0.0,0.0,,1,1,,0.7101216000155546
20260925-083324_default,iris,random_search,0,0,126,13,10,0.9583333333333334,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,210,210,,49.10982909996528
20260925-083324_default,iris,random_search,1,1,121,11,8,0.9416666666666667,0.9666666666666667,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778613,0.0,0.0,,210,209,,56.433096300053876
20260925-083324_default,iris,random_search,2,2,176,6,2,0.975,0.9333333333333333,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0,,210,210,,71.43223689997103
20260925-083324_default,iris,random_search,3,3,79,2,6,0.95,0.9666666666666667,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778613,-0.033333333333333326,-0.03341687552213868,,210,210,,62.840576599992346
20260925-083324_default,iris,random_search,4,4,196,3,6,0.9666666666666668,0.9,0.9,0.9023569023569024,0.9,0.899749373433584,0.0,0.0,,210,209,,132.64246600004844
20260925-083324_default,iris,pso,0,0,179,3,8,0.9583333333333334,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,210,193,0,64.66328380000778
20260925-083324_default,iris,pso,1,1,174,9,6,0.9416666666666667,0.9666666666666667,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778613,0.0,0.0,0.0,210,193,0,76.97411700000521
20260925-083324_default,iris,pso,2,2,89,7,9,0.975,0.9333333333333333,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0,0.0,210,196,0,57.25569140003063
20260925-083324_default,iris,pso,3,3,67,2,8,0.95,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.033333333333333326,210,184,4,72.68628609995358
20260925-083324_default,iris,pso,4,4,191,14,3,0.9666666666666668,0.9,0.9,0.9023569023569024,0.9,0.899749373433584,0.0,0.0,0.0,210,178,0,147.46227630000794
20260925-083324_default,digits,baseline,0,0,100,,2,0.9672909407665505,0.9694444444444444,0.9692814242814242,0.970410301772531,0.9692814242814242,0.969294023162741,0.0,0.0,,1,1,,1.749791299982462
20260925-083324_default,digits,baseline,1,1,100,,2,0.9721568912117693,0.975,0.9749163449163449,0.9756066259162234,0.9749163449163449,0.9749013162225755,0.0,0.0,,1,1,,2.276610200002324
20260925-083324_default,digits,baseline,2,2,100,,2,0.9707970383275262,0.9610027855153204,0.9606784515608044,0.961679483453677,0.9606784515608044,0.9605631862735855,0.0,0.0,,1,1,,1.8200674999970943
20260925-083324_default,digits,baseline,3,3,100,,2,0.9700929152148664,0.9832869080779945,0.9829365079365079,0.9842743553269869,0.9829365079365079,0.9830441898757467,0.0,0.0,,1,1,,1.273699899960775
20260925-083324_default,digits,baseline,4,4,100,,2,0.9763598528842431,0.9721448467966574,0.9721385671385671,0.9727284155902577,0.9721385671385671,0.9719416747418753,0.0,0.0,,1,1,,1.242161699978169
20260925-083324_default,digits,random_search,0,0,196,18,2,0.9721617305458767,0.9777777777777777,0.9776941226941226,0.9781366705050916,0.9776941226941226,0.9776080926497841,0.008333333333333304,0.008314069487043052,,210,210,,234.86273779999465
20260925-083324_default,digits,random_search,1,1,198,15,5,0.9770349399922569,0.975,0.9749163449163449,0.9761729376435259,0.9749163449163449,0.9751249022311367,0.0,0.00022358600856120514,,210,209,,216.23656130000018
20260925-083324_default,digits,random_search,2,2,145,12,3,0.9735723964382501,0.9721448467966574,0.971877886289651,0.9725427730361942,0.971877886289651,0.9717884952112232,0.01114206128133699,0.011225308937637735,,210,210,,203.31201839999994
20260925-083324_default,digits,random_search,3,3,101,9,4,0.9756533101045296,0.9777158774373259,0.9775311025311024,0.9788613512297722,0.9775311025311024,0.977600651452223,-0.005571030640668551,-0.005443538423523742,,210,210,,146.41400439996505
20260925-083324_default,digits,random_search,4,4,69,18,2,0.9791376306620208,0.9721448467966574,0.9721385671385671,0.9727284155902577,0.9721385671385671,0.9719416747418753,0.0,0.0,,210,209,,188.2676669000066
20260925-083324_default,digits,pso,0,0,152,19,2,0.9728561749903213,0.9777777777777777,0.9776941226941226,0.978203842940685,0.9776941226941226,0.9776070642240982,0.008333333333333304,0.008313041061357107,0.0,210,135,3,195.10286970000016
20260925-083324_default,digits,pso,1,1,178,13,5,0.9777293844367015,0.9722222222222222,0.9721385671385672,0.9736124824514917,0.9721385671385672,0.9723789127809219,-0.002777777777777768,-0.0025224034416535535,-0.002777777777777768,210,168,8,254.52887919999193
20260925-083324_default,digits,pso,2,2,172,11,3,0.975660569105691,0.9721448467966574,0.9718028112145758,0.9729650703334913,0.9718028112145758,0.9718627358247268,0.01114206128133699,0.011299549551141319,0.0,210,152,5,151.27196230000118
20260925-083324_default,digits,pso,3,3,153,9,6,0.9735723964382501,0.9805013927576601,0.9804676104676104,0.9812905010273433,0.9804676104676104,0.9805686861866206,-0.002785515320334331,-0.0024755036891260795,0.0027855153203342198,210,168,4,147.46766419999767
20260925-083324_default,digits,pso,4,4,107,14,6,0.9777511614401858,0.9693593314763231,0.9692814242814244,0.969532127473304,0.9692814242814244,0.9692270436839727,-0.0027855153203342198,-0.0027146310579025945,-0.0027855153203342198,210,172,8,151.90115990000777
20260925-083324_default,heart_cleveland,baseline,0,0,100,,2,0.7973639455782313,0.8688524590163934,0.8652597402597402,0.8708791208791209,0.8652597402597402,0.8671023965141612,0.0,0.0,,1,1,,0.8036159000475891
20260925-083324_default,heart_cleveland,baseline,1,1,100,,2,0.8431122448979591,0.7868852459016393,0.7840909090909092,0.7859477124183006,0.7840909090909092,0.7848032564450476,0.0,0.0,,1,1,,0.5384329000371508
20260925-083324_default,heart_cleveland,baseline,2,2,100,,2,0.8053571428571429,0.8524590163934426,0.850108225108225,0.85239651416122,0.850108225108225,0.8510176390773405,0.0,0.0,,1,1,,0.5560550999944098
20260925-083324_default,heart_cleveland,baseline,3,3,100,,2,0.8104591836734695,0.8,0.7912457912457913,0.8049353701527615,0.7912457912457913,0.7942857142857143,0.0,0.0,,1,1,,0.5183583000325598
20260925-083324_default,heart_cleveland,baseline,4,4,100,,2,0.8068027210884352,0.85,0.84375,0.8619271445358402,0.84375,0.8465473145780051,0.0,0.0,,1,1,,0.6157980000134557
20260925-083324_default,heart_cleveland,random_search,0,0,126,5,4,0.8222789115646257,0.8852459016393442,0.8831168831168831,0.8856209150326797,0.8831168831168831,0.8841248303934871,0.016393442622950838,0.017022433879325893,,210,210,,75.84176419995492
20260925-083324_default,heart_cleveland,random_search,1,1,131,16,2,0.8512755102040817,0.7868852459016393,0.7840909090909092,0.7859477124183006,0.7840909090909092,0.7848032564450476,0.0,0.0,,210,209,,72.28494340000907
20260925-083324_default,heart_cleveland,random_search,2,2,101,2,5,0.8383503401360544,0.8032786885245902,0.7965367965367965,0.8085585585585586,0.7965367965367965,0.798901098901099,-0.0491803278688524,-0.052116540176241566,,210,210,,74.42099319997942
20260925-083324_default,heart_cleveland,random_search,3,3,143,4,10,0.8474489795918367,0.8,0.7912457912457913,0.8049353701527615,0.7912457912457913,0.7942857142857143,0.0,0.0,,210,210,,66.09888260002481
20260925-083324_default,heart_cleveland,random_search,4,4,196,3,6,0.8477891156462585,0.85,0.84375,0.8619271445358402,0.84375,0.8465473145780051,0.0,0.0,,210,209,,77.0939513000194
20260925-083324_default,heart_cleveland,pso,0,0,200,6,7,0.8221938775510204,0.9016393442622951,0.8982683982683983,0.9043956043956044,0.8982683982683983,0.9003267973856208,0.032786885245901676,0.033224400871459614,0.016393442622950838,210,140,1,71.96158539998578
20260925-083324_default,heart_cleveland,pso,1,1,117,4,5,0.8472789115646258,0.8032786885245902,0.7965367965367965,0.8085585585585586,0.7965367965367965,0.798901098901099,0.016393442622950838,0.01409784245605139,0.016393442622950838,210,165,6,55.150564400013536
20260925-083324_default,heart_cleveland,pso,2,2,106,2,7,0.842517006802721,0.8032786885245902,0.7965367965367965,0.8085585585585586,0.7965367965367965,0.798901098901099,-0.0491803278688524,-0.052116540176241566,0.0,210,192,16,61.888217300002
20260925-083324_default,heart_cleveland,pso,3,3,188,14,6,0.8474489795918367,0.7833333333333333,0.7794612794612794,0.7816742081447964,0.7794612794612794,0.7803435651929034,-0.01666666666666672,-0.013942149092810885,-0.01666666666666672,210,165,5,78.64205300004687
20260925-083324_default,heart_cleveland,pso,4,4,113,3,8,0.8478741496598641,0.85,0.84375,0.8619271445358402,0.84375,0.8465473145780051,0.0,0.0,0.0,210,159,4,53.16963090002537
