exp_id,dataset,method,run_id,outer_fold,seed,eval_index,iteration,particle_id,pos_n_estimators,pos_max_depth,pos_min_samples_split,vel_n_estimators,vel_max_depth,vel_min_samples_split,n_estimators,max_depth,min_samples_split,fitness,fitness_metric,cv_scores,cv_std,diag_balanced_accuracy,diag_f1_macro,cache_hit,status,error,pbest_fitness,gbest_fitness,best_so_far_fitness,fit_time_s,timestamp
20260925-083324_default,digits,random_search,fold_2,2,2,0,,,,,,,,,176,6,2,0.9541110143244289,accuracy,"[0.9444444444444444,0.9513888888888888,0.9548611111111112,0.9442508710801394,0.975609756097561]",0.01149637775950799,0.9539622331691298,0.9537483272190517,false,ok,,,,0.9541110143244289,1.4780770000070333,2026-09-25T09:03:42.014Z
20260925-083324_default,digits,random_search,fold_2,2,2,1,,,,,,,,,95,9,9,0.9645421989934185,accuracy,"[0.9548611111111112,0.9548611111111112,0.9722222222222222,0.9547038327526133,0.9860627177700348]",0.012699258723782213,0.964407224958949,0.9642276547100724,false,ok,,,,0.9645421989934185,0.8369659000309184,2026-09-25T09:03:42.851Z
20260925-083324_default,digits,random_search,fold_2,2,2,2,,,,,,,,,118,3,5,0.8748427216415022,accuracy,"[0.8680555555555556,0.8541666666666666,0.8784722222222222,0.8641114982578397,0.9094076655052264]",0.018955910143691683,0.8743940886699507,0.8703558547853403,false,ok,,,,0.9645421989934185,0.6994563000043854,2026-09-25T09:03:43.551Z
20260925-083324_default,digits,random_search,fold_2,2,2,3,,,,,,,,,140,17,8,0.9673223964382501,accuracy,"[0.9513888888888888,0.9583333333333334,0.9826388888888888,0.9547038327526133,0.9895470383275261]",0.015636097440955243,0.9672889983579639,0.9670720591688274,false,ok,,,,0.9673223964382501,1.04801700002281,2026-09-25T09:03:44.599Z
20260925-083324_default,digits,random_search,fold_2,2,2,4,,,,,,,,,199,5,9,0.9443791134339914,accuracy,"[0.9444444444444444,0.9340277777777778,0.9375,0.9407665505226481,0.9651567944250871]",0.01094750435306968,0.9442791461412151,0.9439881075339039,false,ok,,,,0.9673223964382501,1.1506987999891862,2026-09-25T09:03:45.751Z
20260925-083324_default,digits,random_search,fold_2,2,2,5,,,,,,,,,58,12,4,0.9645373596593109,accuracy,"[0.9548611111111112,0.9618055555555556,0.9722222222222222,0.9581881533101045,0.975609756097561]",0.008038159445908528,0.9644088669950739,0.964314988704538,false,ok,,,,0.9673223964382501,0.4823092999868095,2026-09-25T09:03:46.234Z
20260925-083324_default,digits,random_search,fold_2,2,2,6,,,,,,,,,80,14,4,0.9687088656600851,accuracy,"[0.9618055555555556,0.9652777777777778,0.9756944444444444,0.9581881533101045,0.9825783972125436]",0.009069461497173704,0.9685714285714285,0.9685930806556439,false,ok,,,,0.9687088656600851,0.6998365999897942,2026-09-25T09:03:46.934Z
20260925-083324_default,digits,random_search,fold_2,2,2,7,,,,,,,,,134,6,3,0.9541158536585366,accuracy,"[0.9444444444444444,0.9444444444444444,0.9548611111111112,0.9512195121951219,0.975609756097561]",0.011471742299881604,0.953912972085386,0.9537865647810604,false,ok,,,,0.9687088656600851,0.851854500011541,2026-09-25T09:03:47.787Z
20260925-083324_default,digits,random_search,fold_2,2,2,8,,,,,,,,,163,10,8,0.9666303716608594,accuracy,"[0.9513888888888888,0.9513888888888888,0.9826388888888888,0.9616724738675958,0.9860627177700348]",0.014987161464746419,0.9665500821018063,0.9664502951658107,false,ok,,,,0.9687088656600851,1.429694999998901,2026-09-25T09:03:49.216Z
20260925-083324_default,digits,random_search,fold_2,2,2,9,,,,,,,,,151,19,5,0.968021680216802,accuracy,"[0.9513888888888888,0.96875,0.96875,0.9651567944250871,0.9860627177700348]",0.011058003919042771,0.967855500821018,0.9677741633835698,false,ok,,,,0.9687088656600851,1.2678734000073746,2026-09-25T09:03:50.485Z
20260925-083324_default,digits,random_search,fold_2,2,2,10,,,,,,,,,83,14,10,0.9624588656600851,accuracy,"[0.9444444444444444,0.9548611111111112,0.9722222222222222,0.9547038327526133,0.9860627177700348]",0.014797639994977272,0.9624351395730706,0.9622595215595199,false,ok,,,,0.9687088656600851,0.6437768000178039,2026-09-25T09:03:51.133Z
