exp_id,dataset,method,run_id,outer_fold,seed,iteration,gbest_fitness,gbest_n_estimators,gbest_max_depth,gbest_min_samples_split,gbest_improved,mean_fitness,std_fitness,min_fitness,max_fitness,diversity,n_unique_configs,n_cache_hits,n_ties_with_gbest,n_failed,cumulative_evaluations,cumulative_unique_fits,no_improve_count,elapsed_s
20260925-083324_default,iris,pso,fold_2,2,2,0,0.975,89,7,9,true,0.9733333333333333,0.003333333333333366,0.9666666666666666,0.975,0.43892511187771566,10,0,8,0,10,10,0,3.447147800005041
20260925-083324_default,iris,pso,fold_2,2,2,1,0.975,89,7,9,false,0.9741666666666665,0.002500000000000024,0.9666666666666666,0.975,0.3250665095746079,10,0,17,0,20,20,1,6.573877500020899
20260925-083324_default,iris,pso,fold_2,2,2,2,0.975,89,7,9,false,0.975,0.0,0.975,0.975,0.20600106433948212,10,0,27,0,30,30,2,9.649433800019324
20260925-083324_default,iris,pso,fold_2,2,2,3,0.975,89,7,9,false,0.975,0.0,0.975,0.975,0.21787332499881223,10,0,37,0,40,40,3,12.451905900030397
20260925-083324_default,iris,pso,fold_2,2,2,4,0.975,89,7,9,false,0.9741666666666667,0.0025000000000000243,0.9666666666666666,0.975,0.24245363303959838,10,1,45,0,50,49,4,15.034009299997706
20260925-083324_default,iris,pso,fold_2,2,2,5,0.975,89,7,9,false,0.975,0.0,0.975,0.975,0.25981316333100135,10,0,55,0,60,59,5,18.10357090004254
20260925-083324_default,iris,pso,fold_2,2,2,6,0.975,89,7,9,false,0.975,0.0,0.975,0.975,0.3067127052729691,10,0,65,0,70,69,6,21.051973699999508
20260925-083324_default,iris,pso,fold_2,2,2,7,0.975,89,7,9,false,0.975,0.0,0.975,0.975,0.24186551015965221,10,0,75,0,80,79,7,24.302776800002903
20260925-083324_default,iris,pso,fold_2,2,2,8,0.975,89,7,9,false,0.975,0.0,0.975,0.975,0.1901581160133874,10,0,85,0,90,89,8,27.433278399985284
20260925-083324_default,iris,pso,fold_2,2,2,9,0.975,89,7,9,false,0.975,0.0,0.975,0.975,0.26226078362675825,10,0,95,0,100,99,9,30.392674800008535
20260925-083324_default,iris,pso,fold_2,2,2,10,0.975,89,7,9,false,0.9733333333333333,0.003333333333333366,0.9666666666666666,0.975,0.2684724909689236,10,0,103,0,110,109,10,33.48208500002511
20260925-083324_default,iris,pso,fold_2,2,2,11,0.975,89,7,9,false,0.9724999999999999,0.0075000000000000075,0.95,0.975,0.26732273395084494,10,1,111,0,120,118,11,36.82089010003256
20260925-083324_default,iris,pso,fold_2,2,2,12,0.975,89,7,9,false,0.975,0.0,0.975,0.975,0.2316800268265858,10,1,120,0,130,127,12,39.506981100013945
20260925-083324_default,iris,pso,fold_2,2,2,13,0.975,89,7,9,false,0.975,0.0,0.975,0.975,0.22416035799543027,10,1,129,0,140,136,13,41.732425199996214
20260925-083324_default,iris,pso,fold_2,2,2,14,0.975,89,7,9,false,0.975,0.0,0.975,0.975,0.2693237337757739,10,1,138,0,150,145,14,43.923981600033585
20260925-083324_default,iris,pso,fold_2,2,2,15,0.975,89,7,9,false,0.975,0.0,0.975,0.975,0.2671376879924554,10,2,146,0,160,153,15,46.08278470003279
20260925-083324_default,iris,pso,fold_2,2,2,16,0.975,89,7,9,false,0.975,0.0,0.975,0.975,0.22694281740818814,10,2,154,0,170,161,16,48.16731400002027
20260925-083324_default,iris,pso,fold_2,2,2,17,0.975,89,7,9,false,0.975,0.0,0.975,0.975,0.2443122453285033,10,1,163,0,180,170,17,50.60324170003878
20260925-083324_default,iris,pso,fold_2,2,2,18,0.975,89,7,9,false,0.975,0.0,0.975,0.975,0.28006365567219615,10,0,173,0,190,180,18,53.08570990001317
20260925-083324_default,iris,pso,fold_2,2,2,19,0.975,89,7,9,false,0.9741666666666665,0.002500000000000024,0.9666666666666666,0.975,0.27988153466493804,10,0,182,0,200,190,19,55.483088200038765
20260925-083324_default,iris,pso,fold_2,2,2,20,0.975,89,7,9,false,0.975,0.0,0.975,0.975,0.27251746563446055,10,4,188,0,210,196,20,57.067447800014634
