exp_id,dataset,method,run_id,outer_fold,seed,eval_index,iteration,particle_id,pos_n_estimators,pos_max_depth,pos_min_samples_split,vel_n_estimators,vel_max_depth,vel_min_samples_split,n_estimators,max_depth,min_samples_split,fitness,fitness_metric,cv_scores,cv_std,diag_balanced_accuracy,diag_f1_macro,cache_hit,status,error,pbest_fitness,gbest_fitness,best_so_far_fitness,fit_time_s,timestamp
20260925-083324_default,digits,random_search,fold_3,3,3,0,,,,,,,,,172,3,3,0.88874370886566,accuracy,"[0.8993055555555556,0.8819444444444444,0.8715277777777778,0.8745644599303136,0.9163763066202091]",0.0168450731338775,0.8884999087757709,0.8875391007687302,false,ok,,,,0.88874370886566,0.6906601999653503,2026-09-25T09:09:37.110Z
20260925-083324_default,digits,random_search,fold_3,3,3,1,,,,,,,,,85,5,9,0.9332220286488578,accuracy,"[0.9548611111111112,0.9444444444444444,0.9270833333333334,0.8954703832752613,0.9442508710801394]",0.020874377499996988,0.9330401386608284,0.9328483112348035,false,ok,,,,0.9332220286488578,0.40964379999786615,2026-09-25T09:09:37.520Z
20260925-083324_default,digits,random_search,fold_3,3,3,2,,,,,,,,,181,13,2,0.9714818041037553,accuracy,"[0.9826388888888888,0.9756944444444444,0.9652777777777778,0.9547038327526133,0.9790940766550522]",0.010199645466888077,0.9713740193395365,0.9714804870896859,false,ok,,,,0.9714818041037553,1.2162369000143372,2026-09-25T09:09:38.737Z
20260925-083324_default,digits,random_search,fold_3,3,3,3,,,,,,,,,64,8,5,0.9610554587688735,accuracy,"[0.9618055555555556,0.9618055555555556,0.9618055555555556,0.9477351916376306,0.9721254355400697]",0.007767391296061559,0.9610735267286991,0.9610675515173996,false,ok,,,,0.9714818041037553,0.4706653000321239,2026-09-25T09:09:39.208Z
20260925-083324_default,digits,random_search,fold_3,3,3,4,,,,,,,,,143,11,4,0.9687040263259774,accuracy,"[0.9826388888888888,0.9722222222222222,0.9548611111111112,0.9581881533101045,0.975609756097561]",0.010549474751111149,0.9685396825396826,0.9685711348738522,false,ok,,,,0.9714818041037553,0.8995849000057206,2026-09-25T09:09:40.108Z
20260925-083324_default,digits,random_search,fold_3,3,3,5,,,,,,,,,74,15,8,0.9659165698799846,accuracy,"[0.9722222222222222,0.9756944444444444,0.9618055555555556,0.9477351916376306,0.9721254355400697]",0.010211572345252842,0.9657794198139026,0.9657677877301729,false,ok,,,,0.9714818041037553,0.4589350000023842,2026-09-25T09:09:40.567Z
20260925-083324_default,digits,random_search,fold_3,3,3,6,,,,,,,,,54,4,6,0.917247386759582,accuracy,"[0.9375,0.9131944444444444,0.8993055555555556,0.9094076655052264,0.926829268292683]",0.013429651331958987,0.9170782703886152,0.9166453462147464,false,ok,,,,0.9714818041037553,0.23679319996153936,2026-09-25T09:09:40.804Z
20260925-083324_default,digits,random_search,fold_3,3,3,7,,,,,,,,,109,18,6,0.9735748161053038,accuracy,"[0.9791666666666666,0.9756944444444444,0.9652777777777778,0.9651567944250871,0.9825783972125436]",0.0071628210052797165,0.973418354314906,0.9735086879859173,false,ok,,,,0.9735748161053038,0.7020555000053719,2026-09-25T09:09:41.507Z
20260925-083324_default,digits,random_search,fold_3,3,3,8,,,,,,,,,113,10,7,0.9673175571041425,accuracy,"[0.9791666666666666,0.9652777777777778,0.9548611111111112,0.9547038327526133,0.9825783972125436]",0.011762010259584173,0.9671359241014412,0.967242871946471,false,ok,,,,0.9735748161053038,0.7259258999838494,2026-09-25T09:09:42.233Z
20260925-083324_default,digits,random_search,fold_3,3,3,9,,,,,,,,,138,5,8,0.9373983739837397,accuracy,"[0.9583333333333334,0.9444444444444444,0.9305555555555556,0.9024390243902439,0.9512195121951219]",0.019737901516654874,0.937255610290093,0.9373474094959896,false,ok,,,,0.9735748161053038,0.6464125999482349,2026-09-25T09:09:42.880Z
20260925-083324_default,digits,random_search,fold_3,3,3,10,,,,,,,,,164,20,9,0.9673127177700348,accuracy,"[0.9791666666666666,0.9722222222222222,0.9548611111111112,0.9512195121951219,0.9790940766550522]",0.0119787606174641,0.9672344462689291,0.9672177732607228,false,ok,,,,0.9735748161053038,0.9270023999852128,2026-09-25T09:09:43.809Z
20260925-083324_default,digits,random_search,fold_3,3,3,11,,,,,,,,,92,8,7,0.9624443476577623,accuracy,"[0.9722222222222222,0.9652777777777778,0.9548611111111112,0.9512195121951219,0.9686411149825784]",0.008068921739700377,0.9623524904214559,0.9622806415231351,false,ok,,,,0.9735748161053038,0.5376130000222474,2026-09-25T09:09:44.348Z
20260925-083324_default,digits,random_search,fold_3,3,3,12,,,,,,,,,148,15,9,0.9673127177700349,accuracy,"[0.9826388888888888,0.9722222222222222,0.9513888888888888,0.9477351916376306,0.9825783972125436]",0.015025868225649159,0.96718682722131,0.9672521811667971,false,ok,,,,0.9735748161053038,0.9311113999574445,2026-09-25T09:09:45.279Z
20260925-083324_default,digits,random_search,fold_3,3,3,13,,,,,,,,,94,19,2,0.9673151374370885,accuracy,"[0.9722222222222222,0.96875,0.9618055555555556,0.9581881533101045,0.975609756097561]",0.00645904547358395,0.9672344462689291,0.9671711504122822,false,ok,,,,0.9735748161053038,0.6604650000226684,2026-09-25T09:09:45.940Z
20260925-083324_default,digits,random_search,fold_3,3,3,14,,,,,,,,,61,20,10,0.961747483546264,accuracy,"[0.9756944444444444,0.9618055555555556,0.9548611111111112,0.9512195121951219,0.9651567944250871]",0.008537034583603368,0.9616679438058748,0.9615785088004639,false,ok,,,,0.9735748161053038,0.3945738000329584,2026-09-25T09:09:46.335Z
20260925-083324_default,digits,random_search,fold_3,3,3,15,,,,,,,,,95,4,4,0.9283681765389081,accuracy,"[0.9479166666666666,0.9270833333333334,0.9166666666666666,0.9094076655052264,0.9407665505226481]",0.014380127104634327,0.9282603539500093,0.9280160659809467,false,ok,,,,0.9735748161053038,0.42627019999781623,2026-09-25T09:09:46.761Z
20260925-083324_default,digits,random_search,fold_3,3,3,16,,,,,,,,,56,18,7,0.9666255323267519,accuracy,"[0.9652777777777778,0.96875,0.9583333333333334,0.9616724738675958,0.9790940766550522]",0.007142657140476723,0.9664955300127712,0.9664173110395848,false,ok,,,,0.9735748161053038,0.3775823999894783,2026-09-25T09:09:47.139Z
20260925-083324_default,digits,random_search,fold_3,3,3,17,,,,,,,,,138,6,6,0.9554974835462641,accuracy,"[0.9652777777777778,0.9583333333333334,0.9375,0.9442508710801394,0.9721254355400697]",0.012888604988433333,0.955336070060208,0.9553399252695363,false,ok,,,,0.9735748161053038,0.767690800013952,2026-09-25T09:09:47.908Z
