exp_id,dataset,method,run_id,outer_fold,seed,iteration,gbest_fitness,gbest_n_estimators,gbest_max_depth,gbest_min_samples_split,gbest_improved,mean_fitness,std_fitness,min_fitness,max_fitness,diversity,n_unique_configs,n_cache_hits,n_ties_with_gbest,n_failed,cumulative_evaluations,cumulative_unique_fits,no_improve_count,elapsed_s
20260925-083324_default,iris,pso,fold_1,1,1,0,0.9416666666666667,174,9,6,true,0.9383333333333332,0.0040824829046386705,0.9333333333333332,0.9416666666666667,0.48069791934121475,10,0,6,0,10,10,0,2.803371399990283
20260925-083324_default,iris,pso,fold_1,1,1,1,0.9416666666666667,174,9,6,false,0.9408333333333333,0.0025000000000000248,0.9333333333333332,0.9416666666666667,0.2701528992623836,10,0,15,0,20,20,1,5.761403399985284
20260925-083324_default,iris,pso,fold_1,1,1,2,0.9416666666666667,174,9,6,false,0.9408333333333333,0.0025000000000000248,0.9333333333333332,0.9416666666666667,0.16996971734138228,10,0,24,0,30,30,2,9.438268200028688
20260925-083324_default,iris,pso,fold_1,1,1,3,0.9416666666666667,174,9,6,false,0.9416666666666667,0.0,0.9416666666666667,0.9416666666666667,0.1980252401955238,10,0,34,0,40,40,3,13.222173199988902
20260925-083324_default,iris,pso,fold_1,1,1,4,0.9416666666666667,174,9,6,false,0.9400000000000001,0.004999999999999982,0.925,0.9416666666666667,0.25187372246241446,10,0,43,0,50,50,4,17.00514959997963
20260925-083324_default,iris,pso,fold_1,1,1,5,0.9416666666666667,174,9,6,false,0.9408333333333333,0.0025000000000000248,0.9333333333333332,0.9416666666666667,0.21810465717434618,10,0,52,0,60,60,5,20.73997990001226
20260925-083324_default,iris,pso,fold_1,1,1,6,0.9416666666666667,174,9,6,false,0.9400000000000001,0.003333333333333366,0.9333333333333332,0.9416666666666667,0.21787147462137316,10,0,60,0,70,70,6,24.607154200028162
20260925-083324_default,iris,pso,fold_1,1,1,7,0.9416666666666667,174,9,6,false,0.9391666666666666,0.0038188130791299035,0.9333333333333332,0.9416666666666667,0.28447573808318494,10,0,67,0,80,80,7,28.422277300036512
20260925-083324_default,iris,pso,fold_1,1,1,8,0.9416666666666667,174,9,6,false,0.9416666666666667,0.0,0.9416666666666667,0.9416666666666667,0.22819314016361605,10,0,77,0,90,90,8,31.803709400002845
20260925-083324_default,iris,pso,fold_1,1,1,9,0.9416666666666667,174,9,6,false,0.9416666666666667,0.0,0.9416666666666667,0.9416666666666667,0.19338324808450844,10,1,86,0,100,99,9,34.543696900014766
20260925-083324_default,iris,pso,fold_1,1,1,10,0.9416666666666667,174,9,6,false,0.9408333333333333,0.0025000000000000248,0.9333333333333332,0.9416666666666667,0.18799662777259027,10,0,95,0,110,109,10,38.656266500009224
20260925-083324_default,iris,pso,fold_1,1,1,11,0.9416666666666667,174,9,6,false,0.9408333333333333,0.0025000000000000248,0.9333333333333332,0.9416666666666667,0.18059757854702754,10,2,102,0,120,117,11,42.78741940000327
20260925-083324_default,iris,pso,fold_1,1,1,12,0.9416666666666667,174,9,6,false,0.9408333333333333,0.0025000000000000248,0.9333333333333332,0.9416666666666667,0.24338958539621455,10,0,111,0,130,127,12,48.162564199999906
20260925-083324_default,iris,pso,fold_1,1,1,13,0.9416666666666667,174,9,6,false,0.9408333333333333,0.0025000000000000248,0.9333333333333332,0.9416666666666667,0.27261189128818586,10,0,120,0,140,137,13,53.0973225000198
20260925-083324_default,iris,pso,fold_1,1,1,14,0.9416666666666667,174,9,6,false,0.9416666666666667,0.0,0.9416666666666667,0.9416666666666667,0.20609328910000282,10,1,129,0,150,146,14,57.973258599988185
20260925-083324_default,iris,pso,fold_1,1,1,15,0.9416666666666667,174,9,6,false,0.9416666666666667,0.0,0.9416666666666667,0.9416666666666667,0.22257547289743326,10,2,137,0,160,154,15,61.12399400002323
20260925-083324_default,iris,pso,fold_1,1,1,16,0.9416666666666667,174,9,6,false,0.9416666666666667,0.0,0.9416666666666667,0.9416666666666667,0.19273911069302144,10,1,146,0,170,163,16,64.99337360000936
20260925-083324_default,iris,pso,fold_1,1,1,17,0.9416666666666667,174,9,6,false,0.9400000000000001,0.003333333333333366,0.9333333333333332,0.9416666666666667,0.23431978732604972,10,3,151,0,180,170,17,68.00573189998977
20260925-083324_default,iris,pso,fold_1,1,1,18,0.9416666666666667,174,9,6,false,0.9416666666666667,0.0,0.9416666666666667,0.9416666666666667,0.243282264740388,10,1,160,0,190,179,18,71.27018859999953
20260925-083324_default,iris,pso,fold_1,1,1,19,0.9416666666666667,174,9,6,false,0.9416666666666667,0.0,0.9416666666666667,0.9416666666666667,0.2160581158007498,10,3,167,0,200,186,19,73.6778194999788
20260925-083324_default,iris,pso,fold_1,1,1,20,0.9416666666666667,174,9,6,false,0.9416666666666667,0.0,0.9416666666666667,0.9416666666666667,0.20623103789250638,10,3,174,0,210,193,20,76.58309339999687
