exp_id,dataset,method,run_id,outer_fold,seed,eval_index,iteration,particle_id,pos_n_estimators,pos_max_depth,pos_min_samples_split,vel_n_estimators,vel_max_depth,vel_min_samples_split,n_estimators,max_depth,min_samples_split,fitness,fitness_metric,cv_scores,cv_std,diag_balanced_accuracy,diag_f1_macro,cache_hit,status,error,pbest_fitness,gbest_fitness,best_so_far_fitness,fit_time_s,timestamp
20260925-083324_default,heart_cleveland,random_search,fold_3,3,3,0,,,,,,,,,172,3,3,0.8392857142857142,accuracy,"[0.9183673469387755,0.8163265306122449,0.8367346938775511,0.9166666666666666,0.7083333333333334]",0.07736132665825916,0.8338305012218056,0.8345836183320406,false,ok,,,,0.8392857142857142,0.46832690003793687,2026-09-25T09:30:34.767Z
20260925-083324_default,heart_cleveland,random_search,fold_3,3,3,1,,,,,,,,,85,5,9,0.8310374149659865,accuracy,"[0.8979591836734694,0.8367346938775511,0.8163265306122449,0.8958333333333334,0.7083333333333334]",0.06925632811344222,0.826280643671948,0.8263847415999737,false,ok,,,,0.8392857142857142,0.28407559997867793,2026-09-25T09:30:35.051Z
20260925-083324_default,heart_cleveland,random_search,fold_3,3,3,2,,,,,,,,,181,13,2,0.8227891156462587,accuracy,"[0.8775510204081632,0.8163265306122449,0.8367346938775511,0.8958333333333334,0.6875]",0.07331263591024724,0.8192324583628932,0.8190056155571999,false,ok,,,,0.8392857142857142,0.5209021000191569,2026-09-25T09:30:35.573Z
20260925-083324_default,heart_cleveland,random_search,fold_3,3,3,3,,,,,,,,,64,8,5,0.8228741496598639,accuracy,"[0.8775510204081632,0.8163265306122449,0.8163265306122449,0.875,0.7291666666666666]",0.05398796063533858,0.820271837663142,0.8192431472052943,false,ok,,,,0.8392857142857142,0.18748399999458343,2026-09-25T09:30:35.760Z
20260925-083324_default,heart_cleveland,random_search,fold_3,3,3,4,,,,,,,,,143,11,4,0.835204081632653,accuracy,"[0.8979591836734694,0.7959183673469388,0.8571428571428571,0.8958333333333334,0.7291666666666666]",0.0646261859998444,0.8326711935407587,0.8322200625020457,false,ok,,,,0.8392857142857142,0.4232607999583706,2026-09-25T09:30:36.185Z
20260925-083324_default,heart_cleveland,random_search,fold_3,3,3,5,,,,,,,,,74,15,8,0.8351190476190476,accuracy,"[0.9183673469387755,0.8367346938775511,0.8163265306122449,0.8958333333333334,0.7083333333333334]",0.07354847406254637,0.8308260982174026,0.8306052411693103,false,ok,,,,0.8392857142857142,0.2512005000025965,2026-09-25T09:30:36.436Z
20260925-083324_default,heart_cleveland,random_search,fold_3,3,3,6,,,,,,,,,54,4,6,0.8392857142857142,accuracy,"[0.8979591836734694,0.8163265306122449,0.8571428571428571,0.9166666666666666,0.7083333333333334]",0.07406067180960359,0.8339729513642556,0.834510929778294,false,ok,,,,0.8392857142857142,0.15710830001626164,2026-09-25T09:30:36.593Z
20260925-083324_default,heart_cleveland,random_search,fold_3,3,3,7,,,,,,,,,109,18,6,0.8351190476190476,accuracy,"[0.8979591836734694,0.8163265306122449,0.8571428571428571,0.875,0.7291666666666666]",0.05933546489751387,0.8313277704582053,0.8314930916472847,false,ok,,,,0.8392857142857142,0.2524563000188209,2026-09-25T09:30:36.846Z
20260925-083324_default,heart_cleveland,random_search,fold_3,3,3,8,,,,,,,,,113,10,7,0.8268707482993196,accuracy,"[0.8775510204081632,0.8367346938775511,0.8367346938775511,0.875,0.7083333333333334]",0.06185568436587364,0.8230786122090471,0.8226058222882179,false,ok,,,,0.8392857142857142,0.3135643999557942,2026-09-25T09:30:37.160Z
20260925-083324_default,heart_cleveland,random_search,fold_3,3,3,9,,,,,,,,,138,5,8,0.8268707482993196,accuracy,"[0.9183673469387755,0.7959183673469388,0.8367346938775511,0.8958333333333334,0.6875]",0.08198416735890801,0.8244772136076483,0.8234132081144384,false,ok,,,,0.8392857142857142,0.41025039996020496,2026-09-25T09:30:37.571Z
20260925-083324_default,heart_cleveland,random_search,fold_3,3,3,10,,,,,,,,,164,20,9,0.839200680272109,accuracy,"[0.9387755102040817,0.8163265306122449,0.8367346938775511,0.8958333333333334,0.7083333333333334]",0.07845759931974489,0.8358732250036599,0.8352233379170994,false,ok,,,,0.8392857142857142,0.439441499998793,2026-09-25T09:30:38.013Z
20260925-083324_default,heart_cleveland,random_search,fold_3,3,3,11,,,,,,,,,92,8,7,0.8309523809523809,accuracy,"[0.8979591836734694,0.8367346938775511,0.8367346938775511,0.875,0.7083333333333334]",0.06562378452847485,0.8267823159127508,0.8266344809680394,false,ok,,,,0.8392857142857142,0.26799269998446107,2026-09-25T09:30:38.281Z
20260925-083324_default,heart_cleveland,random_search,fold_3,3,3,12,,,,,,,,,148,15,9,0.839200680272109,accuracy,"[0.9183673469387755,0.8367346938775511,0.8367346938775511,0.8958333333333334,0.7083333333333334]",0.07295621039562601,0.8351739243043591,0.8350126010323826,false,ok,,,,0.8392857142857142,0.4105517999851145,2026-09-25T09:30:38.692Z
20260925-083324_default,heart_cleveland,random_search,fold_3,3,3,13,,,,,,,,,94,19,2,0.8104591836734695,accuracy,"[0.8571428571428571,0.8163265306122449,0.8163265306122449,0.875,0.6875]",0.06562422526862664,0.8064930238843282,0.8061817674518812,false,ok,,,,0.8392857142857142,0.3083523999666795,2026-09-25T09:30:39.001Z
20260925-083324_default,heart_cleveland,random_search,fold_3,3,3,14,,,,,,,,,61,20,10,0.8350340136054422,accuracy,"[0.9183673469387755,0.8367346938775511,0.8367346938775511,0.875,0.7083333333333334]",0.07014352645986008,0.8313277704582053,0.8308549805373762,false,ok,,,,0.8392857142857142,0.1885482000070624,2026-09-25T09:30:39.190Z
20260925-083324_default,heart_cleveland,random_search,fold_3,3,3,15,,,,,,,,,95,4,4,0.8473639455782311,accuracy,"[0.9183673469387755,0.8367346938775511,0.8775510204081632,0.9166666666666666,0.6875]",0.08535229549270719,0.8433679042374693,0.8436953700592145,false,ok,,,,0.8473639455782311,0.26135749998502433,2026-09-25T09:30:39.452Z
20260925-083324_default,heart_cleveland,random_search,fold_3,3,3,16,,,,,,,,,56,18,7,0.822874149659864,accuracy,"[0.8367346938775511,0.8367346938775511,0.8367346938775511,0.875,0.7291666666666666]",0.049141714867582724,0.8186756078060426,0.8181676668964805,false,ok,,,,0.8473639455782311,0.17449519998626783,2026-09-25T09:30:39.626Z
20260925-083324_default,heart_cleveland,random_search,fold_3,3,3,17,,,,,,,,,138,6,6,0.8308673469387756,accuracy,"[0.8979591836734694,0.8571428571428571,0.8367346938775511,0.875,0.6875]",0.0744688256755875,0.8267823159127508,0.8268166501776975,false,ok,,,,0.8473639455782311,0.35969379998277873,2026-09-25T09:30:39.986Z
20260925-083324_default,heart_cleveland,random_search,fold_3,3,3,18,,,,,,,,,78,16,6,0.8227891156462585,accuracy,"[0.8775510204081632,0.8163265306122449,0.8367346938775511,0.875,0.7083333333333334]",0.061743360647995765,0.8192324583628932,0.8186452866997754,false,ok,,,,0.8473639455782311,0.2532379999756813,2026-09-25T09:30:40.240Z
20260925-083324_default,heart_cleveland,random_search,fold_3,3,3,19,,,,,,,,,54,6,8,0.8351190476190476,accuracy,"[0.8775510204081632,0.8367346938775511,0.8571428571428571,0.8958333333333334,0.7083333333333334]",0.0664062838145376,0.8312725921421574,0.8310904336218432,false,ok,,,,0.8473639455782311,0.15741710003931075,2026-09-25T09:30:40.398Z
20260925-083324_default,heart_cleveland,random_search,fold_3,3,3,20,,,,,,,,,128,9,4,0.8311224489795919,accuracy,"[0.8979591836734694,0.7755102040816326,0.8571428571428571,0.8958333333333334,0.7291666666666666]",0.06755651357048732,0.8288250396946049,0.8282666923222604,false,ok,,,,0.8473639455782311,0.37480029999278486,2026-09-25T09:30:40.775Z
20260925-083324_default,heart_cleveland,random_search,fold_3,3,3,21,,,,,,,,,63,13,7,0.8229591836734695,accuracy,"[0.8367346938775511,0.8163265306122449,0.8367346938775511,0.875,0.75]",0.04112130955022426,0.8193749085053433,0.819107562207423,false,ok,,,,0.8473639455782311,0.1731152999564074,2026-09-25T09:30:40.949Z
20260925-083324_default,heart_cleveland,random_search,fold_3,3,3,22,,,,,,,,,128,19,10,0.8310374149659865,accuracy,"[0.8979591836734694,0.8163265306122449,0.8367346938775511,0.8958333333333334,0.7083333333333334]",0.06925632811344222,0.8276240667545014,0.8270053085669945,false,ok,,,,0.8473639455782311,0.3157884999527596,2026-09-25T09:30:41.264Z
20260925-083324_default,heart_cleveland,random_search,fold_3,3,3,23,,,,,,,,,81,13,7,0.8308673469387756,accuracy,"[0.9183673469387755,0.8367346938775511,0.8367346938775511,0.8541666666666666,0.7083333333333334]",0.06823861708774746,0.8266398657703006,0.826507299062035,false,ok,,,,0.8473639455782311,0.20497840002644807,2026-09-25T09:30:41.470Z
