exp_id,dataset,method,run_id,outer_fold,seed,eval_index,iteration,particle_id,pos_n_estimators,pos_max_depth,pos_min_samples_split,vel_n_estimators,vel_max_depth,vel_min_samples_split,n_estimators,max_depth,min_samples_split,fitness,fitness_metric,cv_scores,cv_std,diag_balanced_accuracy,diag_f1_macro,cache_hit,status,error,pbest_fitness,gbest_fitness,best_so_far_fitness,fit_time_s,timestamp
20260925-083324_default,iris,random_search,fold_1,1,1,0,,,,,,,,,121,11,8,0.9416666666666667,accuracy,"[1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9583333333333334]",0.033333333333333354,0.9416666666666667,0.9413694366635543,false,ok,,,,0.9416666666666667,0.260539399983827,2026-09-25T08:35:20.671Z
20260925-083324_default,iris,random_search,fold_1,1,1,1,,,,,,,,,193,2,3,0.925,accuracy,"[1.0,0.9166666666666666,0.9166666666666666,0.875,0.9166666666666666]",0.04082482904638631,0.925,0.9249019607843136,false,ok,,,,0.9416666666666667,0.3871682000462897,2026-09-25T08:35:21.058Z
20260925-083324_default,iris,random_search,fold_1,1,1,2,,,,,,,,,174,20,4,0.9333333333333332,accuracy,"[1.0,0.9166666666666666,0.875,0.9166666666666666,0.9583333333333334]",0.042491829279939886,0.9333333333333332,0.9329380641145347,false,ok,,,,0.9416666666666667,0.2850114000029862,2026-09-25T08:35:21.343Z
20260925-083324_default,iris,random_search,fold_1,1,1,3,,,,,,,,,97,18,5,0.9416666666666667,accuracy,"[1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9583333333333334]",0.033333333333333354,0.9416666666666667,0.9413694366635543,false,ok,,,,0.9416666666666667,0.20579569996334612,2026-09-25T08:35:21.550Z
20260925-083324_default,iris,random_search,fold_1,1,1,4,,,,,,,,,91,17,4,0.9333333333333332,accuracy,"[1.0,0.9166666666666666,0.875,0.9166666666666666,0.9583333333333334]",0.042491829279939886,0.9333333333333332,0.9329380641145347,false,ok,,,,0.9416666666666667,0.20053219998953864,2026-09-25T08:35:21.751Z
20260925-083324_default,iris,random_search,fold_1,1,1,5,,,,,,,,,111,14,6,0.9416666666666667,accuracy,"[1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9583333333333334]",0.033333333333333354,0.9416666666666667,0.9413694366635543,false,ok,,,,0.9416666666666667,0.23463250003987923,2026-09-25T08:35:21.985Z
20260925-083324_default,iris,random_search,fold_1,1,1,6,,,,,,,,,62,2,9,0.925,accuracy,"[0.9583333333333334,0.9166666666666666,0.9166666666666666,0.875,0.9583333333333334]",0.0311804782231162,0.925,0.9248366013071895,false,ok,,,,0.9416666666666667,0.13904449995607138,2026-09-25T08:35:22.125Z
20260925-083324_default,iris,random_search,fold_1,1,1,7,,,,,,,,,163,17,6,0.9416666666666667,accuracy,"[1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9583333333333334]",0.033333333333333354,0.9416666666666667,0.9413694366635543,false,ok,,,,0.9416666666666667,0.34693160001188517,2026-09-25T08:35:22.472Z
20260925-083324_default,iris,random_search,fold_1,1,1,8,,,,,,,,,173,8,6,0.9416666666666667,accuracy,"[1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9583333333333334]",0.033333333333333354,0.9416666666666667,0.9413694366635543,false,ok,,,,0.9416666666666667,0.3613071999861859,2026-09-25T08:35:22.834Z
20260925-083324_default,iris,random_search,fold_1,1,1,9,,,,,,,,,169,4,4,0.9333333333333332,accuracy,"[1.0,0.9166666666666666,0.875,0.9166666666666666,0.9583333333333334]",0.042491829279939886,0.9333333333333332,0.9329380641145347,false,ok,,,,0.9416666666666667,0.3716757000074722,2026-09-25T08:35:23.206Z
